"id","x","y","eame","heth","Deciduous","Evergreen","Mixed","Shrub","Crops","WoodyWetland","Developed","Open","Herb","Forest","MinT","Rain"
1,494347.6418,498005.1517,0,1,0.3,0,0,0.0571428571428571,0.642857142857143,0,0,0,0,0.3,13.0575644923038,104.678434992432
2,491835.9061,495080.7641,0,0,0.0797101449275362,0,0,0,0.826086956521739,0,0,0.0942028985507246,0,0.0797101449275362,13.1751062884696,105.282766330363
3,493616.9596,497366.0335,0,0,0.0287769784172662,0,0,0,0.244604316546763,0,0.0935251798561151,0.633093525179856,0,0.0287769784172662,13.0344736595049,104.900941774343
4,493668.5292,494368.668,0,1,0.635714285714286,0,0.0428571428571429,0,0.207142857142857,0.0857142857142857,0,0.0285714285714286,0,0.678571428571428,13.1655128755769,104.86113922817
5,491156.8961,495354.8425,0,0,0,0,0,0,0.730496453900709,0,0,0.269503546099291,0,0,13.1919437939752,105.438416982824
6,496204.3754,447138.3919,0,0,0.521428571428571,0,0,0,0,0.0642857142857143,0,0.207142857142857,0.207142857142857,0.521428571428571,13.1894062580234,106.545382322642
7,498551.3538,498567.3302,1,0,0,0,0,0,0.7,0,0,0.3,0,0,12.934720162355,103.394482929991
8,496375.1889,499602.5646,0,0,0,0,0,0,0.898550724637681,0,0.0144927536231884,0.0869565217391304,0,0,12.8986204682331,103.89661215734
9,499577.7668,500637.9805,1,0,0.124087591240876,0,0,0,0.576642335766423,0.131386861313869,0.0072992700729927,0.0948905109489051,0.0656934306569343,0.124087591240876,12.9014256635748,103.094784265279
10,496156.2507,501792.9312,1,0,0,0,0,0,0.907142857142857,0,0,0.0928571428571429,0,0,12.9064536422311,103.709930315337
11,498008.38,491115.2227,0,0,0,0,0,0,0.892086330935252,0,0.0143884892086331,0.0935251798561151,0,0,13.1103835864778,103.620259837473
12,495975.8225,492153.4046,0,0,0.0140845070422535,0,0,0,0.767605633802817,0,0.126760563380282,0.0915492957746479,0,0.0140845070422535,13.1293694469788,104.169567850207
13,497918.696,492128.6412,1,0,0,0,0,0,0.748201438848921,0,0.0359712230215827,0.215827338129496,0,0,13.1204382040164,103.643749924304
14,498269.308,490520.0202,0,0,0.0364963503649635,0,0,0,0.861313868613139,0,0.0510948905109489,0.0510948905109489,0,0.0364963503649635,13.1092438271778,103.596819913261
15,497818.4318,493725.3062,1,0,0,0,0,0,0.892086330935252,0,0.0431654676258993,0.0647482014388489,0,0,13.0815380984953,103.67939252881
16,533298.7241,383376.2199,0,1,0,0,0,0.0642857142857143,0.728571428571429,0,0.0714285714285714,0.121428571428571,0.0142857142857143,0,13.7340046166837,116.971691961812
17,532223.2247,386738.3691,0,0,0.108695652173913,0.0579710144927536,0.202898550724638,0,0.101449275362319,0.123188405797101,0,0.0942028985507246,0.311594202898551,0.369565217391304,13.7233758162042,116.937316513571
18,531282.8187,383928.9272,0,1,0.717391304347826,0,0,0,0,0,0,0.123188405797101,0.159420289855072,0.717391304347826,13.7478884865507,116.45043152435
19,534718.1324,386583.5061,0,0,0.0072463768115942,0,0,0,0,0,0.898550724637681,0.0942028985507246,0,0.0072463768115942,13.6797669550406,117.621729481935
20,532224.8551,386289.6605,0,0,0.561151079136691,0,0.0431654676258993,0,0,0.158273381294964,0,0.100719424460432,0.136690647482014,0.60431654676259,13.7233758162042,116.937316513571
21,535719.4624,389983.3712,0,1,0.18978102189781,0.167883211678832,0.182481751824818,0,0,0,0.0802919708029197,0.131386861313869,0.0875912408759124,0.54014598540146,13.6085391211424,117.476498502763
