"id","jul1","jul2","jul3","hr1","hr2","hr3","yobs1","yobs2","yobs3"
1,161,177,176,8,8,9,1,0,0
2,161,165,180,5,7,9,0,0,0
3,161,174,171,8,7,7,0,0,0
4,161,160,153,5,8,6,1,1,1
5,161,174,183,4,7,7,0,0,0
6,161,155,152,7,5,7,0,0,0
7,161,180,169,6,6,9,0,0,0
8,161,171,160,7,5,7,0,0,0
9,161,168,187,7,7,6,0,0,0
10,161,187,178,7,8,6,0,0,0
11,161,150,181,6,7,6,0,0,0
12,161,183,157,5,8,7,0,0,0
13,161,159,158,6,8,7,0,0,0
14,161,171,176,5,7,6,0,0,0
15,161,173,171,6,5,7,0,0,0
16,162,163,161,6,7,8,1,0,0
17,162,163,163,7,5,5,0,0,0
18,162,164,177,6,6,5,1,1,0
19,162,183,164,7,4,7,0,0,0
20,162,155,168,6,7,4,0,0,0
21,171,185,154,8,6,6,1,0,1
22,171,183,160,7,8,6,0,0,1
23,162,171,155,7,6,8,0,0,0
24,171,174,167,7,8,9,0,0,0
25,171,176,183,7,5,4,1,1,0
26,162,182,154,5,8,6,1,0,1
27,162,167,151,5,8,5,1,0,0
28,162,170,183,4,6,6,1,1,0
29,162,177,161,5,8,5,1,1,0
30,162,171,167,5,5,6,0,0,0
31,152,157,147,6,7,6,0,0,0
32,152,179,173,6,5,6,0,0,0
33,152,173,189,7,7,9,0,0,0
34,152,160,160,6,8,6,0,0,0
35,152,175,163,7,5,8,0,1,0
36,152,191,174,8,7,6,0,0,0
37,152,166,166,8,6,8,0,0,0
38,152,173,183,8,5,6,0,0,0
39,152,156,185,7,6,8,0,0,0
40,152,189,150,7,6,6,0,0,0
41,152,190,166,6,7,8,0,0,0
42,152,162,169,4,6,6,0,0,0
43,152,161,166,5,8,8,0,0,0
44,152,183,147,5,9,5,0,0,0
45,152,160,184,5,6,8,0,1,0
46,165,171,190,8,9,5,0,0,0
47,165,186,171,6,7,7,1,0,1
48,165,161,171,6,7,5,1,1,1
49,164,181,160,9,6,5,0,0,0
50,164,168,155,9,7,6,1,1,1
51,165,180,170,4,5,6,1,1,0
52,165,164,173,6,8,8,1,1,1
53,165,175,161,5,7,5,1,0,1
54,165,165,174,6,8,7,1,1,1
55,165,163,172,5,7,8,1,1,1
56,165,153,150,8,6,7,0,0,0
57,165,166,153,9,7,5,0,0,0
58,165,160,173,8,7,7,0,0,0
59,165,166,181,9,8,6,0,0,0
60,165,161,167,8,9,9,0,1,0
61,165,158,173,6,6,7,0,0,0
62,165,183,174,7,8,8,0,0,0
63,165,173,160,6,7,9,0,0,0
64,165,169,151,7,5,5,0,0,0
65,165,158,172,6,5,5,0,0,0
66,165,180,163,8,8,4,0,0,0
67,165,190,160,8,8,6,0,0,0
68,165,166,171,9,8,7,0,0,0
69,165,167,159,8,5,7,0,0,0
70,165,167,169,8,9,6,0,0,0
71,165,181,157,4,8,5,0,0,0
72,165,185,174,5,6,5,0,0,0
73,165,177,173,5,7,7,0,0,0
74,165,159,149,5,6,9,0,0,0
75,165,173,171,5,8,4,0,0,0
76,183,183,185,7,7,5,0,0,0
77,183,189,184,8,7,8,0,0,0
78,182,165,181,9,8,7,0,0,0
79,183,169,173,8,7,5,0,1,1
80,183,175,146,7,7,8,0,1,0
81,183,176,147,6,5,5,0,1,1
82,183,181,172,5,5,7,0,0,0
83,183,166,154,6,6,6,0,0,0
84,183,182,152,6,6,7,0,0,0
85,183,177,185,7,7,8,0,0,0
